Código Nacional|Nombre Estación|Comuna|Región|Latitud|Longitud|Organismo|Datos Desde|Datos Hasta
340902|Rancagua, Radioestación F.A.CH.|Rancagua|Del Libertador Gral. Bernardo  O'Higgins|-34.133333|-70.716666|Dirección Meteorológica de Chile|1952|1953
350007|Punta Carranza faro|Chanco|Del Maule|-35.560833|-72.618054|Armada de Chile|2020|2023
350012|Yerbas Buenas  Liceo Agrícola (FDF)|Yerbas Buenas|Del Maule|-35.747221|-71.582221|Fundación para el Desarrollo Frutícola|2020|2023
350021|Cauquenes I.N.I.A.|Cauquenes|Del Maule|-35.956111|-72.289999|Instituto de Investigación Agropecuaria|2019|2023
350028|Panguilemo|Pelarco|Del Maule|-35.377777|-71.601111|Dirección Meteorológica de Chile|2013|2023
350064|San Clemente|San Clemente|Del Maule|-35.530554|-71.479443|Instituto de Investigación Agropecuaria|2019|2023
350070|Chanco INIA|Chanco|Del Maule|-35.706666|-72.511388|Instituto de Investigación Agropecuaria|2019|2023
350071|Sauzal|Cauquenes|Del Maule|-35.715|-72.111388|Instituto de Investigación Agropecuaria|2020|2023
350073|Santa Amada|Cauquenes|Del Maule|-35.760833|-71.574166|Instituto de Investigación Agropecuaria|2019|2023
350078|Santa Sofia|Cauquenes|Del Maule|-35.977777|-72.36|Instituto de Investigación Agropecuaria|2019|2023
350080|Molina Lontue|Molina|Del Maule|-35.049721|-71.248055|Fundación para el Desarrollo Frutícola|2020|2023
350081|Molina, Tres Esquinas|Molina|Del Maule|-35.144721|-71.216111|Fundación para el Desarrollo Frutícola|2020|2023
350082|San Rafael|San Rafael|Del Maule|-35.303888|-71.475832|Fundación para el Desarrollo Frutícola|2020|2023
350083|Pencahue|Pencahue|Del Maule|-35.455833|-71.772221|Fundación para el Desarrollo Frutícola|2020|2023
350084|San Clemente Las Lomillas-San Clemente|San Clemente|Del Maule|-35.541666|-71.318332|Fundación para el Desarrollo Frutícola|2020|2023
350085|San Javier|San Javier|Del Maule|-35.629999|-71.603888|Fundación para el Desarrollo Frutícola|2020|2023
350086|Yerbas Buenas, Yerbas Buenas 2|Yerbas Buenas|Del Maule|-35.576666|-71.553888|Fundación para el Desarrollo Frutícola|2020|2023
350087|San Javier, Maule|San Javier|Del Maule|-35.576666|-71.678888|Fundación para el Desarrollo Frutícola|2020|2023
350088|Colbun|Colbún|Del Maule|-35.6625|-71.453611|Fundación para el Desarrollo Frutícola|2020|2023
350089|San Javier Villa Alegre|San Javier|Del Maule|-35.69611|-71.682221|Fundación para el Desarrollo Frutícola|2020|2023
350090|Longaví, Linares 2|Longaví|Del Maule|-35.932221|-71.566943|Fundación para el Desarrollo Frutícola|2020|2023
